site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error
10622,39.3,-86.5,GIC,measured,NERC,
10623,39.3,-86.5,GIC,measured,NERC,
10715,41.9,-72.8,GIC,measured,NERC,
10728,36.2,-86.4,GIC,measured,NERC,
10051,44.4,-96.5,GIC,measured,NERC,
10063,33.4,-112.5,GIC,measured,NERC,
10102,42.9,-71.3,GIC,measured,NERC,
10230,43.6,-92.7,GIC,measured,NERC,
10231,45,-92.8,GIC,measured,NERC,
10291,43.4,-72.7,GIC,measured,NERC,
10292,44.1,-72.5,GIC,measured,NERC,
10293,43,-72.7,GIC,measured,NERC,
10294,44.1,-73.2,GIC,measured,NERC,
10295,42.8,-72.5,GIC,measured,NERC,
10296,43.6,-73.1,GIC,measured,NERC,
10332,44,-91.3,GIC,measured,NERC,
10333,44.4,-96.5,GIC,measured,NERC,
10334,44.4,-96.5,GIC,measured,NERC,
10335,45.1,-93.5,GIC,measured,NERC,
10346,47.9,-97.1,GIC,measured,NERC,
10359,33.7,-111.9,GIC,measured,NERC,
10360,40.2,-75.3,GIC,measured,NERC,
10361,40.2,-75.3,GIC,measured,NERC,
10362,39.8,-76.3,GIC,measured,NERC,
10363,40.2,-75.6,GIC,measured,NERC,
10364,40.2,-75.6,GIC,measured,NERC,
10399,39.1,-78.3,GIC,measured,NERC,
10400,39.1,-78.3,GIC,measured,NERC,
10401,39.1,-78.3,GIC,measured,NERC,
10402,39.5,-78.9,GIC,measured,NERC,
10403,39.5,-78.9,GIC,measured,NERC,
10404,39.5,-77.9,GIC,measured,NERC,
10405,39.5,-77.9,GIC,measured,NERC,
10406,39.5,-77.9,GIC,measured,NERC,
10407,39.5,-77.9,GIC,measured,NERC,
10409,39.3,-77.5,GIC,measured,NERC,
10410,39.3,-77.5,GIC,measured,NERC,
10411,39.3,-77.5,GIC,measured,NERC,
10412,39.3,-77.5,GIC,measured,NERC,
10413,39.3,-77.5,GIC,measured,NERC,
10414,39.4,-77.4,GIC,measured,NERC,
10415,44.1,-103.2,GIC,measured,NERC,
10416,44.1,-103.2,GIC,measured,NERC,
10425,36.8,-78.7,GIC,measured,NERC,
10426,38.1,-78.8,GIC,measured,NERC,
10427,39,-77.5,GIC,measured,NERC,
10428,36.7,-76.5,GIC,measured,NERC,
10429,36.7,-76.3,GIC,measured,NERC,
10438,43.2,-75.2,GIC,measured,NERC,
10445,41.1,-74.2,GIC,measured,NERC,
10446,37,-121,GIC,measured,NERC,
10447,37,-121,GIC,measured,NERC,
10448,37,-120,GIC,measured,NERC,
10449,37,-120,GIC,measured,NERC,
10584,40,-104,GIC,measured,NERC,
10593,37,-84.5,GIC,measured,NERC,
10628,48,-66.4,GIC,measured,NERC,
10635,43.7,-87.7,GIC,measured,NERC,
10636,43.7,-87.7,GIC,measured,NERC,
10648,32.8,-115.5,GIC,measured,NERC,
10649,42.8,-74,GIC,measured,NERC,
10659,42.5,-87.9,GIC,measured,NERC,
10674,41.7,-72.6,GIC,measured,NERC,
10675,47.9,-65.9,GIC,measured,NERC,
10676,46.1,-66.8,GIC,measured,NERC,
10677,45.2,-66.2,GIC,measured,NERC,
10679,41.3,-74.3,GIC,measured,NERC,
10717,34.3,-81.3,GIC,measured,NERC,
10646,41,-81.6,GIC,measured,NERC,
10647,40.2,-74.5,GIC,measured,NERC,
10660,36.2,-88.6,GIC,measured,NERC,
10661,36,-87.9,GIC,measured,NERC,
10690,34.7,-86.8,GIC,measured,NERC,
10691,37.2,-86.9,GIC,measured,NERC,
10692,37.2,-86.9,GIC,measured,NERC,
10693,36,-84.1,GIC,measured,NERC,
10086,27.7,-82,GIC,measured,NERC,
10087,27.9,-82.4,GIC,measured,NERC,
10088,27.9,-82.4,GIC,measured,NERC,
10090,27.8,-82.1,GIC,measured,NERC,
10091,27.7,-82.3,GIC,measured,NERC,
10180,41.7,-73.8,GIC,measured,NERC,
10181,41.9,-74,GIC,measured,NERC,
10182,26.6,-98.5,GIC,measured,NERC,
10184,39,-78.2,GIC,measured,NERC,
10185,39.3,-81.3,GIC,measured,NERC,
10186,42,-80,GIC,measured,NERC,
10187,41,-81.6,GIC,measured,NERC,
10191,41.3,-90.5,GIC,measured,NERC,
10192,41.1,-95.7,GIC,measured,NERC,
10193,41.6,-71.4,GIC,measured,NERC,
10194,42.6,-73.9,GIC,measured,NERC,
10195,39.7,-74.9,GIC,measured,NERC,
10196,33.3,-111.9,GIC,measured,NERC,
10197,36.4,-82.2,GIC,measured,NERC,
10199,35,-84.9,GIC,measured,NERC,
10200,34.1,-86.7,GIC,measured,NERC,
10202,34.9,-90,GIC,measured,NERC,
10203,35,-85.3,GIC,measured,NERC,
10204,35.3,-89.8,GIC,measured,NERC,
10205,36.2,-88.8,GIC,measured,NERC,
10207,36,-84.1,GIC,measured,NERC,
10208,35.8,-86.5,GIC,measured,NERC,
10209,34.8,-85.7,GIC,measured,NERC,
10210,34.7,-86.5,GIC,measured,NERC,
10211,34.3,-88.8,GIC,measured,NERC,
10212,36,-86.6,GIC,measured,NERC,
10219,36.1,-81,GIC,measured,NERC,
10220,39.4,-87.4,GIC,measured,NERC,
10226,28.2,-82.1,GIC,measured,NERC,
10248,32.8,-80.6,GIC,measured,NERC,
10249,33.3,-81,GIC,measured,NERC,
10250,34.1,80.9,GIC,measured,NERC,
10252,36.4,-79,GIC,measured,NERC,
10325,29.8,-95.2,GIC,measured,NERC,
10373,42.6,-73.9,GIC,measured,NERC,
50127,37.1,-119.7,B,measured,NERC,
50131,37.8,-84.7,B,measured,NERC,
50132,38,-84.8,B,measured,NERC,
50102,42.1,-72.5,B,measured,NERC,
50104,36,-84.1,B,measured,NERC,
50105,34.7,-87.8,B,measured,NERC,
50106,36.3,-86.4,B,measured,NERC,
50115,41.3,-90.5,B,measured,NERC,
50116,37.2,-86.9,B,measured,NERC,
50120,34.3,-88.8,B,measured,NERC,
50122,35.6,-89.3,B,measured,NERC,
