site_id,geo_lat,geo_lon,data_type,data_class,data_source,error
10077,42.3,-87.9,GIC,measured,NERC,'not centered'
10078,42.1,-87.8,GIC,measured,NERC,'low values'
10079,41.5,-87.6,GIC,measured,NERC,'noisy'
10080,42,-87.9,GIC,measured,NERC,'noisy'
10082,41.6,-87.7,GIC,measured,NERC,'no values'
10083,40.8,-88.6,GIC,measured,NERC,'not centered'
10084,41.2,-87.9,GIC,measured,NERC,'no values'
10085,41.2,-87.9,GIC,measured,NERC,'no values'
10102,42.9,-71.3,GIC,measured,NERC,'low sampling rate'
10107,34.5,-118.1,GIC,measured,NERC,'spike'
10111,43.4,-123,GIC,measured,NERC,'noisy'
10112,47.7,-117.4,GIC,measured,NERC,'noisy'
10113,45.6,-121.1,GIC,measured,NERC,'noisy'
10114,46.5,-116.9,GIC,measured,NERC,'noisy'
10115,47.6,-114.6,GIC,measured,NERC,'spike'
10116,47.9,-121.9,GIC,measured,NERC,'noisy'
10117,45.3,-122.8,GIC,measured,NERC,'noisy'
10118,45.7,-122.6,GIC,measured,NERC,'low sampling rate'
10119,47.5,-120.3,GIC,measured,NERC,'noisy'
10120,47.8,-122.2,GIC,measured,NERC,'low sampling rate'
10121,46.9,-119.9,GIC,measured,NERC,'noisy'
10231,45,-92.8,GIC,measured,NERC,'low sampling rate'
10234,30.8,-88.1,GIC,measured,NERC,'low values'
10235,33.3,-87.4,GIC,measured,NERC,'not centered'
10236,33.7,-86.6,GIC,measured,NERC,'not centered'
10240,40.8,-73.6,GIC,measured,NERC,'spike'
10257,47.4,-101.2,GIC,measured,NERC,'not centered'
10258,47.4,-101.2,GIC,measured,NERC,'not centered'
10259,47.4,-101.2,GIC,measured,NERC,'not centered'
10260,47.4,-101.2,GIC,measured,NERC,'not centered'
10261,45.1,-93.8,GIC,measured,NERC,'not centered'
10262,45.1,-93.8,GIC,measured,NERC,'not centered'
10263,45.1,-93.8,GIC,measured,NERC,'not centered'
10264,45.1,-93.8,GIC,measured,NERC,'not centered'
10291,43.4,-72.7,GIC,measured,NERC,'not centered'
10292,44.1,-72.5,GIC,measured,NERC,'spike'
10293,43,-72.7,GIC,measured,NERC,'spike'
10294,44.1,-73.2,GIC,measured,NERC,'low sampling rate'
10295,42.8,-72.5,GIC,measured,NERC,'not centered'
10296,43.6,-73.1,GIC,measured,NERC,'low sampling rate'
10333,44.4,-96.5,GIC,measured,NERC,'low sampling rate'
10334,44.4,-96.5,GIC,measured,NERC,'not centered'
10335,45.1,-93.5,GIC,measured,NERC,'no values'
10346,47.9,-97.1,GIC,measured,NERC,'spike'
10359,33.7,-111.9,GIC,measured,NERC,'spike'
10360,40.2,-75.3,GIC,measured,NERC,'low sampling rate'
10361,40.2,-75.3,GIC,measured,NERC,'low sampling rate'
10362,39.8,-76.3,GIC,measured,NERC,'low sampling rate'
10363,40.2,-75.6,GIC,measured,NERC,'low values'
10364,40.2,-75.6,GIC,measured,NERC,'low sampling rate'
10399,39.1,-78.3,GIC,measured,NERC,'low sampling rate'
10400,39.1,-78.3,GIC,measured,NERC,'low sampling rate'
10401,39.1,-78.3,GIC,measured,NERC,'low sampling rate'
10402,39.5,-78.9,GIC,measured,NERC,'flagged in stack plot'
10403,39.5,-78.9,GIC,measured,NERC,'low values'
10404,39.5,-77.9,GIC,measured,NERC,'flagged in stack plot'
10405,39.5,-77.9,GIC,measured,NERC,'flagged in stack plot'
10406,39.5,-77.9,GIC,measured,NERC,'flagged in stack plot'
10407,39.5,-77.9,GIC,measured,NERC,'flagged in stack plot'
10409,39.3,-77.5,GIC,measured,NERC,'flagged in stack plot'
10410,39.3,-77.5,GIC,measured,NERC,'no values'
10411,39.3,-77.5,GIC,measured,NERC,'flagged in stack plot'
10412,39.3,-77.5,GIC,measured,NERC,'flagged in stack plot'
10413,39.3,-77.5,GIC,measured,NERC,'no values'
10414,39.4,-77.4,GIC,measured,NERC,'low values'
10415,44.1,-103.2,GIC,measured,NERC,'low values'
10416,44.1,-103.2,GIC,measured,NERC,'not centered'
10418,39.4,-115.2,GIC,measured,NERC,'not centered'
10420,39.5,-75.5,GIC,measured,NERC,'not centered'
10421,39.5,-75.5,GIC,measured,NERC,'low values'
10425,36.8,-78.7,GIC,measured,NERC,'not centered'
10426,38.1,-78.8,GIC,measured,NERC,'not centered'
10427,39,-77.5,GIC,measured,NERC,'not centered'
10428,36.7,-76.5,GIC,measured,NERC,
10429,36.7,-76.3,GIC,measured,NERC,'not centered'
10438,43.2,-75.2,GIC,measured,NERC,
10441,34.2,-81.6,GIC,measured,NERC,'duplicate time stamps'
10442,33.8,-78.9,GIC,measured,NERC,'duplicate time stamps'
10445,41.1,-74.2,GIC,measured,NERC,'duplicate time stamps'
10446,37,-121,GIC,measured,NERC,'not centered'
10447,37,-121,GIC,measured,NERC,'not centered'
10448,37,-120,GIC,measured,NERC,'not centered'
10449,37,-120,GIC,measured,NERC,'not centered'
10584,40,-104,GIC,measured,NERC,'not centered'
10585,33.1,-80.1,GIC,measured,NERC,'duplicate time stamps'
10589,36.9,-81.7,GIC,measured,NERC,'low sampling rate'
10593,37,-84.5,GIC,measured,NERC,'not centered'
10628,48,-66.4,GIC,measured,NERC,'not centered'
10635,43.7,-87.7,GIC,measured,NERC,'not centered'
10636,43.7,-87.7,GIC,measured,NERC,'not centered'
10648,32.8,-115.5,GIC,measured,NERC,'no values'
10649,42.8,-74,GIC,measured,NERC,'noisy'
10658,43.1,-78.7,GIC,measured,NERC,'not centered'
10659,42.5,-87.9,GIC,measured,NERC,'not centered'
10674,41.7,-72.6,GIC,measured,NERC,'duplicate time stamps'
10675,47.9,-65.9,GIC,measured,NERC,'noisy'
10676,46.1,-66.8,GIC,measured,NERC,'spike'
10677,45.2,-66.2,GIC,measured,NERC,
10678,31.5,-87.9,GIC,measured,NERC,'not centered'
10694,32,-106.2,GIC,measured,NERC,'low sampling rate'
10702,41.7,-85.9,GIC,measured,NERC,'not centered'
10709,36.4,-85.5,GIC,measured,NERC,'low values'
10710,36.4,-85.5,GIC,measured,NERC,'not centered'
10711,36.7,-85.4,GIC,measured,NERC,'low values'
10712,36.7,-85.4,GIC,measured,NERC,'not centered'
10716,41.7,-71.5,GIC,measured,NERC,'not centered'
10729,39.9,-83.1,GIC,measured,NERC,'not centered'
10646,41,-81.6,GIC,measured,NERC,
10647,40.2,-74.5,GIC,measured,NERC,'no values'
10660,36.2,-88.6,GIC,measured,NERC,
10661,36,-87.9,GIC,measured,NERC,
10690,34.7,-86.8,GIC,measured,NERC,'not centered'
10691,37.2,-86.9,GIC,measured,NERC,
10692,37.2,-86.9,GIC,measured,NERC,
10693,36,-84.1,GIC,measured,NERC,
10696,40.4,-85.9,GIC,measured,NERC,'not centered'
10697,36.8,-80.8,GIC,measured,NERC,'spike'
10698,26.1,-98.1,GIC,measured,NERC,'not centered'
10699,37.6,-81.6,GIC,measured,NERC,'not centered'
10700,37.6,-81.6,GIC,measured,NERC,'not centered'
10086,27.7,-82,GIC,measured,NERC,'not centered'
10087,27.9,-82.4,GIC,measured,NERC,'low values'
10088,27.9,-82.4,GIC,measured,NERC,'not centered'
10089,27.8,-82.4,GIC,measured,NERC,'no values'
10090,27.8,-82.1,GIC,measured,NERC,'low values'
10091,27.7,-82.3,GIC,measured,NERC,'not centered'
10180,41.7,-73.8,GIC,measured,NERC,
10181,41.9,-74,GIC,measured,NERC,
10182,26.6,-98.5,GIC,measured,NERC,
10184,39,-78.2,GIC,measured,NERC,'low values'
10185,39.3,-81.3,GIC,measured,NERC,
10186,42,-80,GIC,measured,NERC,
10187,41,-81.6,GIC,measured,NERC,
10191,41.3,-90.5,GIC,measured,NERC,
10192,41.1,-95.7,GIC,measured,NERC,'spike'
10193,41.6,-71.4,GIC,measured,NERC,
10194,42.6,-73.9,GIC,measured,NERC,'noisy'
10196,33.3,-111.9,GIC,measured,NERC,'spike'
10197,36.4,-82.2,GIC,measured,NERC,
10199,35,-84.9,GIC,measured,NERC,
10200,34.1,-86.7,GIC,measured,NERC,'low values'
10201,36.5,-87.2,GIC,measured,NERC,
10202,34.9,-90,GIC,measured,NERC,'noisy'
10203,35,-85.3,GIC,measured,NERC,
10205,36.2,-88.8,GIC,measured,NERC,'low sampling rate'
10207,36,-84.1,GIC,measured,NERC,
10208,35.8,-86.5,GIC,measured,NERC,'spike'
10210,34.7,-86.5,GIC,measured,NERC,
10211,34.3,-88.8,GIC,measured,NERC,
10212,36,-86.6,GIC,measured,NERC,'noisy'
10219,36.1,-81,GIC,measured,NERC,'noisy'
10220,39.4,-87.4,GIC,measured,NERC,'not centered'
10248,32.8,-80.6,GIC,measured,NERC,'not centered'
10249,33.3,-81,GIC,measured,NERC,'spike'
10250,34.1,-80.9,GIC,measured,NERC,'spike'
10251,35.9,-82.3,GIC,measured,NERC,'noisy'
10252,36.4,-79,GIC,measured,NERC,'low sampling rate'
10325,29.8,-95.2,GIC,measured,NERC,'low values'
10366,42.4,-71.8,GIC,measured,NERC,'not centered'
10367,42.4,-71.8,GIC,measured,NERC,'not centered'
10371,42.4,-71.8,GIC,measured,NERC,'not centered'
10373,42.6,-73.9,GIC,measured,NERC,'not centered'
10374,42.6,-71.5,GIC,measured,NERC,'duplicate time stamps'
10376,40.9,-73.9,GIC,measured,NERC,'noisy'
10377,40.7,-74,GIC,measured,NERC,'noisy'
10378,40.7,-74,GIC,measured,NERC,'noisy'
10379,40.7,-74,GIC,measured,NERC,'noisy'
10380,41.1,-73.8,GIC,measured,NERC,'noisy'
10381,40.7,-74,GIC,measured,NERC,'noisy'
10382,40.6,-74.2,GIC,measured,NERC,'not centered'
10383,40.6,-74.2,GIC,measured,NERC,
10384,40.7,-74,GIC,measured,NERC,'noisy'
10385,41.2,-73.8,GIC,measured,NERC,'noisy'
10386,40.8,-73.9,GIC,measured,NERC,'noisy'
10387,41,-73.9,GIC,measured,NERC,'noisy'
10388,41,-73.9,GIC,measured,NERC,'noisy'
10453,38.5,-81.8,GIC,measured,NERC,'noisy'
10455,40.1,-82.7,GIC,measured,NERC,'not centered'
10456,38.2,-82.6,GIC,measured,NERC,'not centered'
10458,42.2,-86.3,GIC,measured,NERC,'not centered'
10460,28.9,-96.2,GIC,measured,NERC,'not centered'
10461,32.2,-100,GIC,measured,NERC,'not centered'
10462,32.2,-100,GIC,measured,NERC,'not centered'
10463,35.4,-99.7,GIC,measured,NERC,'not centered'
10464,35.4,-99.7,GIC,measured,NERC,'not centered'
10467,37.4,-79.9,GIC,measured,NERC,'not centered'
10468,37.4,-79.9,GIC,measured,NERC,'not centered'
10469,37.4,-79.9,GIC,measured,NERC,'not centered'
10471,37.4,-79.9,GIC,measured,NERC,'not centered'
10473,28.7,-97.2,GIC,measured,NERC,'not centered'
10474,28.7,-97.2,GIC,measured,NERC,'not centered'
10475,40.2,-81.9,GIC,measured,NERC,'low sampling rate'
10476,40.1,-82.8,GIC,measured,NERC,'not centered'
10477,31.4,-95.4,GIC,measured,NERC,'not centered'
10478,42,-86.6,GIC,measured,NERC,'not centered'
10480,42,-86.6,GIC,measured,NERC,'not centered'
10481,40.2,-85.3,GIC,measured,NERC,'not centered'
10482,40.2,-85.3,GIC,measured,NERC,'not centered'
10483,39,-83,GIC,measured,NERC,'not centered'
10484,39,-83,GIC,measured,NERC,'not centered'
10485,39,-83,GIC,measured,NERC,'not centered'
10487,41.5,-86.4,GIC,measured,NERC,'not centered'
10489,36.6,-79.3,GIC,measured,NERC,'not centered'
10490,41.7,-85.9,GIC,measured,NERC,'not centered'
10491,40.8,-84,GIC,measured,NERC,'not centered'
10492,40.8,-84,GIC,measured,NERC,'not centered'
10493,36.7,-79.9,GIC,measured,NERC,'not centered'
10494,36.7,-79.9,GIC,measured,NERC,'not centered'
10495,36.7,-79.9,GIC,measured,NERC,'not centered'
10496,36.3,-94.5,GIC,measured,NERC,'not centered'
10497,40.5,-84.1,GIC,measured,NERC,'not centered'
10498,40.2,-83.1,GIC,measured,NERC,'not centered'
10499,40.2,-83.1,GIC,measured,NERC,'not centered'
10500,41.6,-86.3,GIC,measured,NERC,'not centered'
10502,36.9,-80.8,GIC,measured,NERC,'not centered'
10503,36.9,-80.8,GIC,measured,NERC,'not centered'
10504,36.9,-80.8,GIC,measured,NERC,'not centered'
10506,38.7,-85.4,GIC,measured,NERC,'not centered'
10507,40.1,-82.7,GIC,measured,NERC,'low values'
10509,39.8,-80.8,GIC,measured,NERC,'not centered'
10511,41.9,-86.2,GIC,measured,NERC,'not centered'
10512,40,-82.6,GIC,measured,NERC,'not centered'
10513,26.1,-97.6,GIC,measured,NERC,'not centered'
10515,26.1,-97.6,GIC,measured,NERC,'not centered'
10516,39.6,-81.2,GIC,measured,NERC,'not centered'
10517,32,-93.2,GIC,measured,NERC,'not centered'
10519,27.8,-97.6,GIC,measured,NERC,'not centered'
10520,27.8,-97.6,GIC,measured,NERC,'not centered'
10521,31.3,-103.1,GIC,measured,NERC,'not centered'
10522,31.3,-103.1,GIC,measured,NERC,'not centered'
10524,40.2,-83,GIC,measured,NERC,'not centered'
10525,40.2,-83,GIC,measured,NERC,'not centered'
10527,40.3,-83.4,GIC,measured,NERC,'not centered'
10528,37.2,-80.2,GIC,measured,NERC,'not centered'
10529,37.2,-80.2,GIC,measured,NERC,'not centered'
10530,39,-81.9,GIC,measured,NERC,'not centered'
10531,32.5,-99.8,GIC,measured,NERC,'not centered'
10532,32.5,-99.8,GIC,measured,NERC,'not centered'
10534,36.6,-82.7,GIC,measured,NERC,'not centered'
10537,27.6,-97.7,GIC,measured,NERC,'not centered'
10538,26.3,-98.2,GIC,measured,NERC,'not centered'
10539,26.3,-98.2,GIC,measured,NERC,'not centered'
10541,41.7,-86.5,GIC,measured,NERC,'not centered'
10542,36,-95.7,GIC,measured,NERC,'not centered'
10543,36,-95.7,GIC,measured,NERC,'not centered'
10545,37.4,-79.1,GIC,measured,NERC,'not centered'
10546,37.4,-79.1,GIC,measured,NERC,'not centered'
10547,37.4,-79.1,GIC,measured,NERC,'not centered'
10548,26.2,-98.2,GIC,measured,NERC,'not centered'
10549,26.2,-98.2,GIC,measured,NERC,'not centered'
10550,26.3,-97.6,GIC,measured,NERC,'not centered'
10551,26.3,-97.6,GIC,measured,NERC,'not centered'
10552,40,-83.1,GIC,measured,NERC,'not centered'
10557,31.5,-100.3,GIC,measured,NERC,'not centered'
10558,30.9,-103.4,GIC,measured,NERC,'not centered'
10559,30.9,-103.4,GIC,measured,NERC,'not centered'
10561,41,-83.3,GIC,measured,NERC,'not centered'
10563,40.7,-81.4,GIC,measured,NERC,'not centered'
10564,40.7,-84.2,GIC,measured,NERC,'low sampling rate'
10565,26.1,-98.2,GIC,measured,NERC,'low values'
10567,39.2,-87.5,GIC,measured,NERC,'not centered'
10568,39.2,-87.5,GIC,measured,NERC,'not centered'
10569,39.2,-87.5,GIC,measured,NERC,'not centered'
10570,40.2,-80.7,GIC,measured,NERC,'not centered'
10572,38.4,-82.5,GIC,measured,NERC,'not centered'
10573,38.4,-82.5,GIC,measured,NERC,'not centered'
10574,38.4,-82.5,GIC,measured,NERC,'not centered'
10575,41.7,-86.1,GIC,measured,NERC,'noisy'
10576,41.7,-86.1,GIC,measured,NERC,'not centered'
10577,41.4,-84.9,GIC,measured,NERC,'not centered'
10578,40.2,-82.8,GIC,measured,NERC,'not centered'
50100,30.4000000000,-89.6000000000,B,measured,NERC,
50127,37.1000000000,-119.7000000000,B,measured,NERC,
50112,48.3000000000,-117.1000000000,B,measured,NERC,
50129,40.3000000000,-83.4000000000,B,measured,NERC,
50131,37.8000000000,-84.7000000000,B,measured,NERC,
50132,38.0000000000,-84.8000000000,B,measured,NERC,
50102,42.1000000000,-72.5000000000,B,measured,NERC,
50103,33.3000000000,-89.2000000000,B,measured,NERC,
50104,36.0000000000,-84.1000000000,B,measured,NERC,
50105,34.7000000000,-87.8000000000,B,measured,NERC,
50106,36.3000000000,-86.4000000000,B,measured,NERC,
50107,36.3000000000,-82.9000000000,B,measured,NERC,
50115,41.3000000000,-90.5000000000,B,measured,NERC,
50116,37.2000000000,-86.9000000000,B,measured,NERC,
50117,36.1000000000,-81.0000000000,B,measured,NERC,
50119,35.0000000000,-85.3000000000,B,measured,NERC,
50120,34.3000000000,-88.8000000000,B,measured,NERC,
50122,35.6000000000,-89.3000000000,B,measured,NERC,
